Date,Open,High,Low,Close,Adj Close,Volume
2012-01-27,69372,69372,67175,67960,67960,182344
2012-01-30,68117,68901,66076,66234,66234,239064
2012-01-31,67646,67960,65291,66548,66548,227379
2012-02-01,66704,67802,65291,65920,65920,260649
2012-02-02,66233,67332,65605,66077,66077,232166
2012-02-03,67018,68430,66547,68274,68274,220172
2012-02-06,68587,69372,68117,69216,69216,194170
2012-02-07,69215,69215,67175,68588,68588,175851
2012-02-08,68117,68744,66547,66861,66861,218586
2012-02-09,67489,68117,65605,66704,66704,251293
2012-02-10,66233,68901,65291,68274,68274,298134
2012-02-13,68273,69372,67489,68274,68274,132240
2012-02-14,68117,69215,67332,68745,68745,139635
2012-02-15,69686,70628,68744,70628,70628,168743
2012-02-16,70157,71256,69215,69373,69373,131790
2012-02-17,70157,70628,68901,68902,68902,143925
2012-02-20,68901,69529,67802,67960,67960,126546
2012-02-21,67960,70000,67960,70000,70000,126435
2012-02-22,70314,74238,69843,72512,72512,346242
2012-02-23,73296,75336,72668,75337,75337,386376
2012-02-24,73924,75336,72982,74552,74552,232982
2012-02-27,75336,75336,72354,74709,74709,226265
2012-02-28,73767,74708,72354,72983,72983,177332
2012-02-29,72511,73610,71569,73297,73297,175229
2012-03-02,73610,74708,71099,74552,74552,268744
2012-03-05,73296,73767,72354,72983,72983,103146
2012-03-06,73453,74081,71412,73140,73140,149264
2012-03-07,73453,74081,72511,73924,73924,116610
2012-03-08,73924,74081,71256,71256,71256,213742
2012-03-09,71883,73767,71569,73140,73140,165313
2012-03-12,72825,75964,72668,75808,75808,152464
2012-03-13,76121,77220,74865,74866,74866,147993
2012-03-14,74865,76121,73924,74081,74081,150100
2012-03-15,74081,75179,73767,74395,74395,102523
2012-03-16,74395,75022,73767,73767,73767,112125
2012-03-19,73767,75493,73767,74866,74866,110405
2012-03-20,74708,77063,74395,75023,75023,197828
2012-03-21,75493,78318,75022,78319,78319,190475
2012-03-22,78632,78789,73767,76749,76749,212445
2012-03-23,75964,78789,75807,77377,77377,152952
2012-03-26,78475,80830,65919,78790,78790,248607
2012-03-27,80830,83812,80045,83341,83341,252966
2012-03-28,83184,83184,80202,82086,82086,224585
2012-03-29,82085,82085,79103,79574,79574,148910
2012-03-30,81143,82242,79574,81615,81615,125034
2012-04-02,83184,83812,80359,81301,81301,147065
2012-04-03,81300,84282,80830,81929,81929,167612
2012-04-04,82399,82870,79260,79574,79574,137961
2012-04-05,80987,86009,80359,86010,86010,241214
2012-04-06,86009,86009,83498,85382,85382,117882
2012-04-09,85381,85538,83655,84283,84283,92527
2012-04-10,84126,86323,81771,83184,83184,124947
2012-04-12,81614,83184,79417,83028,83028,238583
2012-04-13,83184,83341,80673,82243,82243,171226
2012-04-16,81300,82085,79888,81301,81301,94603
2012-04-17,81143,82870,80987,82400,82400,90130
2012-04-18,82870,83341,81457,82714,82714,125850
2012-04-19,83027,85067,82713,84440,84440,136354
2012-04-20,84597,84753,83498,83812,83812,64035
2012-04-23,84597,85224,80673,82243,82243,123383
2012-04-24,82713,82713,78318,78319,78319,173567
2012-04-25,78789,80987,78632,80202,80202,96581
2012-04-26,81614,81614,78946,80830,80830,121665
2012-04-27,80359,80359,77691,78947,78947,205073
2012-04-30,78946,80987,78004,80359,80359,173717
2012-05-02,80202,80359,78475,78476,78476,142849
2012-05-03,78475,80045,77220,80045,80045,171390
2012-05-04,80202,80202,77220,77534,77534,204411
2012-05-07,77220,78475,75650,76592,76592,164594
2012-05-08,76278,76749,73453,74866,74866,296938
2012-05-09,74865,79888,74708,79889,79889,243119
2012-05-10,78475,80202,75964,76906,76906,212797
2012-05-11,76121,76906,73767,75180,75180,180037
2012-05-14,75336,77063,74865,74866,74866,172533
2012-05-15,74238,75807,72354,72826,72826,142146
2012-05-16,72668,72825,70628,71256,71256,196826
2012-05-17,70785,71726,69529,69843,69843,180176
2012-05-18,70000,72354,67646,70314,70314,228786
2012-05-21,71569,74081,71099,71884,71884,169153
2012-05-22,72197,72825,69529,71884,71884,182515
2012-05-23,73453,73610,70942,72198,72198,143759
2012-05-24,72354,73767,71256,73453,73453,126352
2012-05-25,73453,73767,71412,72198,72198,124063
2012-05-29,71883,72040,70157,71099,71099,177453
2012-05-30,71883,73924,70628,73924,73924,180067
2012-05-31,74238,76121,72825,76122,76122,225449
2012-06-01,74551,76278,74081,75337,75337,183358
2012-06-04,73767,74238,71883,74081,74081,220387
2012-06-05,74081,75807,73610,74081,74081,144315
2012-06-07,76121,78161,75336,75965,75965,190337
2012-06-08,76121,78946,75964,78162,78162,253612
2012-06-11,78475,79103,75022,75651,75651,289885
2012-06-12,75650,77691,75650,76749,76749,139356
2012-06-13,77220,77533,76121,76906,76906,153943
2012-06-14,76906,78161,75336,76906,76906,245921
2012-06-15,77220,77377,75493,76279,76279,141525
2012-06-18,76749,77377,75493,76122,76122,123530
