Date,Open,High,Low,Close,Adj Close,Volume
2012-01-27,44900,45050,44450,45000,45000,1018095
2012-01-30,44400,45950,43950,45350,45350,1532963
2012-01-31,45800,45800,43500,44750,44750,1953367
2012-02-01,44750,45000,43950,45000,45000,956998
2012-02-02,45500,46250,45300,45900,45900,1849405
2012-02-03,45900,46600,45450,46150,46150,814814
2012-02-06,47200,47500,46550,47000,47000,983293
2012-02-07,47100,47350,45400,45800,45800,1240339
2012-02-08,45500,47100,45500,46650,46650,758266
2012-02-09,46250,46550,45050,46550,46550,1355374
2012-02-10,45900,46100,44800,44950,44950,2023317
2012-02-13,44700,45500,44700,44700,44700,838834
2012-02-14,44550,44650,43700,44550,44550,1363196
2012-02-15,44200,45100,44200,44850,44850,789334
2012-02-16,44100,44400,43250,43400,43400,2333552
2012-02-17,44900,44900,43550,43800,43800,1444516
2012-02-20,44500,44500,43550,43800,43800,996519
2012-02-21,43950,44200,43500,44050,44050,640488
2012-02-22,43600,44300,43450,44250,44250,1123467
2012-02-23,43550,43850,43150,43550,43550,981681
2012-02-24,43800,44300,43250,43900,43900,776045
2012-02-27,43600,43850,43150,43600,43600,747847
2012-02-28,43150,43650,43100,43650,43650,1154209
2012-02-29,43450,43700,43150,43300,43300,1332407
2012-03-02,43350,43850,43100,43300,43300,1487839
2012-03-05,43200,43200,42500,42800,42800,1134442
2012-03-06,42900,43200,42150,42500,42500,775854
2012-03-07,42050,42250,41400,41850,41850,1059704
2012-03-08,41950,43700,41400,42900,42900,1933379
2012-03-09,43500,43550,42100,42450,42450,1509896
2012-03-12,42550,43300,42200,42950,42950,1042421
2012-03-13,43400,44950,43050,44850,44850,2880865
2012-03-14,45550,45700,44850,44850,44850,1558779
2012-03-15,45500,45550,44750,44950,44950,1116003
2012-03-16,45250,45500,44850,44900,44900,734827
2012-03-19,45300,45900,44500,44900,44900,1430341
2012-03-20,45100,45300,43950,44600,44600,1067767
2012-03-21,44300,45700,44000,44900,44900,1059533
2012-03-22,44200,45600,44100,45450,45450,1389468
2012-03-23,45450,45500,44600,44600,44600,1119179
2012-03-26,45000,45300,44000,44500,44500,939390
2012-03-27,45000,45300,44500,44550,44550,777652
2012-03-28,44500,45100,44000,44500,44500,829683
2012-03-29,44500,44850,43400,44450,44450,882340
2012-03-30,44050,44500,43350,43750,43750,1148018
2012-04-02,44250,45150,43700,44650,44650,1108733
2012-04-03,44700,44800,44200,44650,44650,788430
2012-04-04,44600,45150,43850,44450,44450,1347832
2012-04-05,43950,44550,43600,44100,44100,563905
2012-04-06,43800,43950,43000,43300,43300,981428
2012-04-09,43100,43100,41850,42550,42550,819826
2012-04-10,42600,42800,41650,42250,42250,1201402
2012-04-12,41850,42950,41800,42450,42450,1220668
2012-04-13,42700,42950,42400,42800,42800,779614
2012-04-16,42150,42250,41600,42200,42200,1037009
2012-04-17,41900,42650,41850,42400,42400,1003800
2012-04-18,42900,43150,42000,42350,42350,933118
2012-04-19,41950,42250,41000,41500,41500,1135708
2012-04-20,41400,41400,40500,41250,41250,818921
2012-04-23,41250,42000,41000,41400,41400,659830
2012-04-24,41000,41050,40600,41000,41000,951248
2012-04-25,41000,41200,40250,40650,40650,879894
2012-04-26,40500,40800,40000,40150,40150,683480
2012-04-27,40200,40300,39600,39900,39900,1049826
2012-04-30,40300,40350,38800,39500,39500,1150626
2012-05-02,39500,39950,38950,39600,39600,1301519
2012-05-03,39700,41050,39700,41000,41000,1494595
2012-05-04,41000,41300,40700,41300,41300,709755
2012-05-07,40850,40850,40050,40700,40700,1216391
2012-05-08,41000,41450,40600,41150,41150,1236419
2012-05-09,41150,41400,40800,41250,41250,710356
2012-05-10,41200,41300,40400,41150,41150,733832
2012-05-11,40700,40750,40150,40400,40400,1249739
2012-05-14,40200,40500,39800,40500,40500,1116684
2012-05-15,40100,40550,39900,40300,40300,1461391
2012-05-16,40250,40250,39600,39850,39850,1020403
2012-05-17,39500,40900,39400,39600,39600,1993543
2012-05-18,39600,39600,36950,37650,37650,1985709
2012-05-21,37350,37700,36400,37000,37000,1926020
2012-05-22,37900,38700,37200,38250,38250,1471285
2012-05-23,38800,38800,37600,38250,38250,863170
2012-05-24,38450,38850,37750,38400,38400,805494
2012-05-25,38400,38800,38050,38550,38550,565284
2012-05-29,38100,39400,38100,38950,38950,853131
2012-05-30,38650,39000,38000,38350,38350,846994
2012-05-31,38000,38550,37500,37950,37950,1189680
2012-06-01,37950,38100,37400,37750,37750,736061
2012-06-04,36600,37500,36550,37250,37250,1598942
2012-06-05,36900,38000,36900,38000,38000,742419
2012-06-07,39050,39500,38750,39400,39400,1150143
2012-06-08,39400,39700,38750,39400,39400,689409
2012-06-11,40350,40600,39800,39900,39900,924936
2012-06-12,39300,39450,39000,39250,39250,670853
2012-06-13,39550,39650,39100,39300,39300,706189
2012-06-14,38850,40300,38800,40200,40200,1533758
2012-06-15,40200,40750,39850,40700,40700,1110964
2012-06-18,41300,41650,41200,41350,41350,859346
2012-06-19,40950,41400,40450,41000,41000,534206
2012-06-20,41000,41150,40200,40650,40650,912363
2012-06-21,40200,40500,39600,40150,40150,1042497
2012-06-22,39700,39900,38400,38950,38950,1503715
2012-06-25,38500,39000,38150,38750,38750,876460
2012-06-26,38300,39100,38100,38550,38550,683007
2012-06-27,38250,38650,38000,38450,38450,746731
2012-06-28,38450,38800,37850,38100,38100,630442
2012-06-29,38050,40100,37900,39700,39700,1387283
2012-07-02,40050,40750,39500,40150,40150,1007652
2012-07-03,40500,41050,40400,40900,40900,1215952
2012-07-04,41200,41200,40100,40200,40200,979884
2012-07-05,39950,39950,38900,39300,39300,1559471
2012-07-06,39250,39300,38800,39100,39100,589506
2012-07-09,38500,38900,38150,38500,38500,1042426
2012-07-10,38200,39000,38000,38000,38000,922376
2012-07-11,38100,38500,37900,38250,38250,624191
2012-07-12,38100,38500,37000,37000,37000,1277286
2012-07-13,37400,37450,36900,37200,37200,1527154
2012-07-16,37400,37700,37100,37150,37150,587270
2012-07-17,37150,38050,36900,37600,37600,939784
2012-07-18,37600,37700,36750,36800,36800,1200087
2012-07-19,37000,37200,35650,36050,36050,2623823
2012-07-20,35800,35950,35100,35550,35550,2049123
2012-07-23,34800,34900,33750,34100,34100,2300109
2012-07-24,34100,34450,33800,34200,34200,1460741
2012-07-25,33200,33750,33100,33350,33350,1849363
2012-07-26,33450,33600,33300,33550,33550,1334118
2012-07-27,34650,34950,34000,34750,34750,1528580
2012-07-30,35250,35700,35100,35450,35450,1253592
2012-07-31,35400,36350,34750,36200,36200,1665876
2012-08-01,35650,36250,35250,35500,35500,1482450
2012-08-02,35800,35900,35200,35350,35350,735382
2012-08-03,34500,34700,34050,34250,34250,1399591
2012-08-06,34800,35100,34300,34850,34850,1614935
2012-08-07,34800,35150,34500,34900,34900,777044
2012-08-08,35450,36150,35350,35550,35550,2479453
2012-08-09,35550,36850,35550,36700,36700,2429088
2012-08-10,36700,37150,36600,36950,36950,1005598
2012-08-13,37000,37250,36650,36650,36650,594170
2012-08-14,36850,37400,36750,36900,36900,961261
2012-08-16,36700,37350,36650,37350,37350,1268241
2012-08-17,37250,37650,37200,37350,37350,1133556
2012-08-20,37700,37800,37300,37600,37600,696589
2012-08-21,37800,37800,37000,37100,37100,874771
2012-08-22,37250,37300,36500,37150,37150,1100298
2012-08-23,37250,37900,36800,37400,37400,1129759
2012-08-24,36900,37000,35900,36150,36150,1690393
2012-08-27,36250,37300,36200,37100,37100,1210899
